Motif	GC content	Motif length
MA0634.1 ALX3	0.2757	10
MA1463.1 ARGFX	0.204	10
MA0151.1 Arid3a	0.0617	6
MA0601.1 Arid3b	0.1529	11
MA0602.1 Arid5a	0.2764	14
MA1100.2 ASCL1	0.6311	10
MA0816.1 Ascl2	0.5846	10
MA0461.2 Atoh1	0.4128	10
MA1467.1 ATOH1(var.2)	0.5266	10
MA1468.1 ATOH7	0.4515	10
MA1633.1 BACH1	0.5036	13
MA0635.1 BARHL2	0.344	10
MA0875.1 BARX1	0.3016	8
MA1471.1 BARX2	0.2485	12
MA1634.1 BATF	0.3837	11
MA0462.2 BATF::JUN	0.3842	11
MA0835.2 BATF3	0.368	11
MA0463.2 BCL6	0.4497	16
MA0607.1 Bhlha15	0.455	8
MA1472.1 BHLHA15(var.2)	0.5493	10
MA0818.1 BHLHE22	0.3969	10
MA1635.1 BHLHE22(var.2)	0.6452	10
MA0817.1 BHLHE23	0.345	12
MA0878.2 CDX1	0.3471	11
MA0465.2 CDX2	0.2919	12
MA1473.1 CDX4	0.3187	11
MA0018.4 CREB1	0.424	13
MA0139.1 CTCF	0.6449	19
MA0879.1 Dlx1	0.2708	10
MA0885.1 Dlx2	0.2195	8
MA0880.1 Dlx3	0.2522	8
MA0881.1 Dlx4	0.2525	8
MA1476.1 DLX5	0.2276	8
MA0882.1 DLX6	0.2353	8
MA1603.1 Dmrt1	0.3391	13
MA0610.1 DMRT3	0.3438	11
MA1478.1 DMRTA2	0.3527	12
MA1479.1 DMRTC2	0.2983	12
MA1481.1 DRGX	0.2312	8
MA0468.1 DUX4	0.2383	11
MA0598.3 EHF	0.48	15
MA0473.3 ELF1	0.5202	14
MA0640.2 ELF3	0.5031	14
MA0136.2 ELF5	0.5107	11
MA0076.2 ELK4	0.6298	11
MA0612.2 EMX1	0.2337	8
MA0886.1 EMX2	0.2929	10
MA0027.2 EN1	0.2534	8
MA0800.1 EOMES	0.4305	13
MA0474.2 ERG	0.5403	10
MA0644.1 ESX1	0.3039	10
MA0098.3 ETS1	0.5463	10
MA0761.2 ETV1	0.498	14
MA0762.1 ETV2	0.4687	11
MA0764.2 ETV4	0.5325	10
MA0765.2 ETV5	0.5891	11
MA0645.1 ETV6	0.5744	10
MA0820.1 FIGLA	0.5457	10
MA0476.1 FOS	0.4227	11
MA0099.3 FOS::JUN	0.4146	10
MA1134.1 FOS::JUNB	0.4295	12
MA1141.1 FOS::JUND	0.4471	13
MA1135.1 FOSB::JUNB	0.4115	10
MA0477.2 FOSL1	0.4174	13
MA1128.1 FOSL1::JUN	0.432	13
MA1137.1 FOSL1::JUNB	0.4214	13
MA1142.1 FOSL1::JUND	0.398	10
MA0478.1 FOSL2	0.4768	11
MA1130.1 FOSL2::JUN	0.4304	12
MA1138.1 FOSL2::JUNB	0.4006	10
MA1144.1 FOSL2::JUND	0.4126	10
MA0148.4 FOXA1	0.3003	12
MA0047.3 FOXA2	0.2972	11
MA1683.1 FOXA3	0.319	11
MA0845.1 FOXB1	0.1931	11
MA0032.2 FOXC1	0.2043	11
MA0846.1 FOXC2	0.232	12
MA0031.1 FOXD1	0.275	8
MA0847.2 FOXD2	0.2751	13
MA0041.1 Foxd3	0.2234	12
MA1606.1 Foxf1	0.2925	11
MA0479.1 FOXH1	0.4011	11
MA0042.2 FOXI1	0.2682	7
MA0614.1 Foxj2	0.2466	8
MA0851.1 Foxj3	0.3306	17
MA0852.2 FOXK1	0.3871	14
MA1103.2 FOXK2	0.3295	11
MA0033.2 FOXL1	0.225	7
MA1607.1 Foxl2	0.2969	14
MA0480.1 Foxo1	0.3646	11
MA0848.1 FOXO4	0.2686	7
MA0481.3 FOXP1	0.3064	11
MA0593.1 FOXP2	0.305	11
MA0850.1 FOXP3	0.293	7
MA0040.1 Foxq1	0.2021	11
MA0062.3 GABPA	0.5047	14
MA0889.1 GBX1	0.3219	10
MA0890.1 GBX2	0.3001	10
MA0038.2 GFI1	0.4432	12
MA0483.1 Gfi1b	0.4149	11
MA1105.2 GRHL2	0.4143	12
MA0892.1 GSX1	0.3085	10
MA0092.1 Hand1::Tcf3	0.5069	10
MA1638.1 HAND2	0.5219	10
MA0894.1 HESX1	0.2743	10
MA0739.1 Hic1	0.5962	9
MA0109.1 HLTF	0.3969	10
MA0895.1 HMBOX1	0.3572	10
MA0896.1 Hmx1	0.3831	17
MA0897.1 Hmx2	0.3349	17
MA0898.1 Hmx3	0.3303	17
MA0046.2 HNF1A	0.2271	15
MA1495.1 HOXA1	0.2911	8
MA0899.1 HOXA10	0.2701	11
MA0911.1 Hoxa11	0.3437	12
MA0650.2 HOXA13	0.3439	11
MA0900.2 HOXA2	0.2274	8
MA1496.1 HOXA4	0.328	8
MA0158.2 HOXA5	0.3209	8
MA1497.1 HOXA6	0.349	10
MA1498.1 HOXA7	0.3211	8
MA0594.2 HOXA9	0.4099	10
MA0901.2 HOXB13	0.2382	14
MA0902.2 HOXB2	0.3024	8
MA0903.1 HOXB3	0.3084	10
MA1499.1 HOXB4	0.2336	8
MA0904.2 HOXB5	0.296	8
MA1500.1 HOXB6	0.3139	8
MA1501.1 HOXB7	0.356	10
MA1502.1 HOXB8	0.3023	8
MA1503.1 HOXB9	0.3132	10
MA0905.1 HOXC10	0.2834	10
MA0651.1 HOXC11	0.3364	11
MA0906.1 HOXC12	0.34	11
MA0907.1 HOXC13	0.3535	11
MA1504.1 HOXC4	0.2537	8
MA1505.1 HOXC8	0.2797	8
MA0485.2 HOXC9	0.3212	10
MA1506.1 HOXD10	0.347	11
MA0908.1 HOXD11	0.2811	10
MA0873.1 HOXD12	0.339	11
MA0909.2 HOXD13	0.4086	11
MA0912.2 HOXD3	0.2563	8
MA1507.1 HOXD4	0.2432	8
MA0910.2 HOXD8	0.3155	8
MA0913.2 HOXD9	0.2529	10
MA0770.1 HSF2	0.3643	13
MA0771.1 HSF4	0.4182	13
MA1508.1 IKZF1	0.45	12
MA0050.2 IRF1	0.357	21
MA0051.1 IRF2	0.4121	18
MA1418.1 IRF3	0.4586	21
MA1419.1 IRF4	0.4557	15
MA1420.1 IRF5	0.4811	14
MA0772.1 IRF7	0.3745	14
MA0652.1 IRF8	0.4503	14
MA0653.1 IRF9	0.4162	15
MA0914.1 ISL2	0.3542	8
MA0654.1 ISX	0.2015	8
MA0655.1 JDP2	0.3609	9
MA1132.1 JUN::JUNB	0.4272	10
MA0489.1 JUN(var.2)	0.4256	14
MA0490.2 JUNB	0.3875	13
MA0491.2 JUND	0.4	13
MA0618.1 LBX1	0.2396	8
MA0700.2 LHX2	0.2846	11
MA0135.1 Lhx3	0.1308	13
MA0704.1 Lhx4	0.1967	8
MA1519.1 LHX5	0.2011	8
MA0701.2 LHX9	0.2249	8
MA0619.1 LIN54	0.1885	9
MA0702.2 LMX1A	0.1152	8
MA0703.2 LMX1B	0.1243	11
MA1520.1 MAF	0.4983	15
MA0117.2 Mafb	0.4299	12
MA0495.3 MAFF	0.3834	16
MA0659.2 MAFG	0.4033	15
MA0496.3 MAFK	0.5046	15
MA0052.4 MEF2A	0.2568	15
MA0660.1 MEF2B	0.2552	12
MA0497.1 MEF2C	0.2823	15
MA0773.1 MEF2D	0.2253	12
MA0498.2 MEIS1	0.4536	7
MA1639.1 MEIS1(var.2)	0.321	13
MA0774.1 MEIS2	0.506	8
MA1640.1 MEIS2(var.2)	0.307	15
MA0775.1 MEIS3	0.4831	8
MA0706.1 MEOX2	0.3111	10
MA0801.1 MGA	0.5152	8
MA0621.1 mix-a	0.1987	11
MA0662.1 MIXL1	0.2934	10
MA0707.1 MNX1	0.237	10
MA1523.1 MSANTD3	0.5117	10
MA0665.1 MSC	0.4621	10
MA1524.1 MSGN1	0.4991	12
MA0666.1 MSX1	0.2878	8
MA0708.1 MSX2	0.2666	8
MA0709.1 Msx3	0.2479	8
MA1108.2 MXI1	0.5165	10
MA0100.3 MYB	0.502	10
MA1641.1 MYF5	0.5547	12
