Motif	GC content	Motif length
MA1100.2 ASCL1	0.6311	10
MA1631.1 ASCL1(var.2)	0.6539	13
MA1102.2 CTCFL	0.7815	12
MA0162.4 EGR1	0.7519	14
MA0493.1 Klf1	0.665	11
MA1512.1 KLF11	0.7493	11
MA1513.1 KLF15	0.9016	11
MA0741.1 KLF16	0.7842	11
MA1515.1 KLF2	0.7294	11
MA0039.4 KLF4	0.7292	12
MA0599.1 KLF5	0.7921	10
MA0499.2 MYOD1	0.5878	13
MA0048.2 NHLH1	0.6832	10
MA1620.1 Ptf1a(var.3)	0.5512	12
MA1621.1 Rbpjl	0.557	14
MA1558.1 SNAI1	0.5952	10
MA0745.2 SNAI2	0.5642	13
MA1559.1 SNAI3	0.5661	10
MA1564.1 SP9	0.7368	12
MA1648.1 TCF12(var.2)	0.661	11
MA0522.3 TCF3	0.6637	11
MA0830.2 TCF4	0.656	13
MA0632.2 TCFL5	0.7497	10
MA0810.1 TFAP2A(var.2)	0.7491	12
MA0811.1 TFAP2B	0.7237	12
MA0524.2 TFAP2C	0.7209	12
MA1627.1 Wt1	0.7031	14
MA1650.1 ZBTB14	0.8078	12
MA0103.3 ZEB1	0.6506	11
MA1653.1 ZNF148	0.8069	12
MA0528.2 ZNF263	0.6719	12
